make_time,day_part,inhopper,stuffed_crust,product_line,quantity_sold,is_plan_ahead
10.733,2,2,0,Beverage,1,0
6.017,1,1,0,Pizza,1,0
11.917,1,1,0,Pizza,1,0
7.6,4,1,0,Pizza,1,0
7.6,4,2,0,Side,1,0
7.6,4,3,0,Side,1,0
7.6,4,4,0,Extra,1,0
8.283,4,5,0,Pizza,1,1
8.283,4,6,0,Pizza,1,1
6.433,3,1,0,Pizza,1,0
9.25,2,1,0,Pizza,1,0
9.25,2,2,0,Extra,1,0
16.383,1,1,0,Pizza,1,0
16.383,1,2,0,Pizza,1,0
16.383,1,3,0,Pizza,1,0
16.383,1,4,0,Pizza,1,0
16.383,1,5,0,Pizza,1,0
16.383,1,6,0,Pizza,1,0
9,4,1,0,Side,1,0
9,4,2,0,Beverage,2,0
6.75,4,1,0,Pizza,1,0
6.75,4,2,0,Side,1,0
11.817,1,1,0,Pizza,1,0
11.817,1,2,0,Sandwich,1,0
33.15,2,1,0,Side,1,0
33.15,2,2,0,Side,1,0
6.533,4,1,1,Pizza,1,0
18.733,4,1,0,Pizza,1,0
8.833,1,1,0,Beverage,1,0
8.833,1,2,0,Pizza,1,0
6.517,2,1,0,Pizza,1,0
11.433,4,1,0,Pizza,1,0
11.433,4,2,0,Side,1,0
11.433,4,3,0,Side,1,0
6.933,4,1,0,Pizza,1,0
6.933,4,2,0,Pizza,1,0
6.933,4,3,0,Side,1,0
6.933,4,4,0,Beverage,1,0
11.833,4,1,0,Pizza,1,0
6.483,3,1,0,Pizza,1,0
8.2,1,1,0,Pizza,1,0
6.617,5,1,0,Pizza,1,0
6.617,5,2,0,Side,1,0
6.617,5,3,0,Extra,2,0
6.617,5,4,0,Dessert,1,0
12.217,1,1,0,Dessert,1,0
12.217,1,2,0,Dessert,1,0
6.683,4,1,0,Pizza,1,0
9.85,4,1,0,Pizza,1,0
9.85,4,2,0,Pizza,1,0
9.233,4,1,0,Pizza,1,0
9.233,4,2,0,Extra,3,0
6.417,4,1,0,Pizza,1,0
10.95,4,1,0,Pizza,1,0
10.95,4,2,0,Pizza,1,0
10.95,4,3,0,Extra,2,0
10.95,4,4,0,Extra,2,0
14.7,4,1,1,Pizza,1,0
14.7,4,2,0,Pizza,1,0
8.267,2,1,0,Side,1,0
8.267,2,2,0,Side,1,0
8.267,2,3,0,Side,1,0
10.817,4,1,0,Pizza,1,0
10.817,4,2,0,Pizza,1,0
10.817,4,3,0,Side,1,0
53.633,2,1,0,Pizza,1,1
53.633,2,2,0,Pizza,1,1
11.467,4,1,0,Pizza,1,0
11.467,4,2,0,Extra,2,0
11.467,4,3,0,Pizza,1,0
18.9,4,4,0,Side,1,0
18.9,4,5,0,Dessert,1,0
18.9,4,6,0,Sandwich,1,0
18.9,4,7,0,Sandwich,1,0
18.9,4,8,0,Pizza,1,0
18.9,4,9,0,Side,1,0
18.9,4,10,0,Pizza,1,0
9.067,1,1,0,Pizza,1,0
